"","mc_critic_score","mc_critic_num","mc_audience_score","mc_audience_num","imdb_score","imdb_reviews"
"1",59,46,6.7,211,6.7,94869
"2",78,57,8.4,694,8.3,319074
"3",47,42,8.3,1043,6.6,63232
"4",58,37,6.4,246,6.7,148784
"5",53,61,4.8,4766,6.7,327628
"6",60,59,5.4,1186,6.2,115436
"7",26,46,4.9,141,5.6,34158
"8",91,57,7.5,378,7.9,106646
"9",72,58,6.8,344,7.1,101453
"10",47,43,6.2,72,6.8,23215
"11",61,56,7.1,249,7.5,60975
"12",82,52,7.5,767,7.9,310883
"13",64,47,6.8,443,6.9,110236
"14",54,22,6.9,66,6.8,23672
"15",51,44,8,321,7.9,140794
"16",68,50,7,87,7.5,26427
"17",96,52,8.9,1233,8.6,416898
"18",22,29,4.2,68,4.8,20593
"19",90,56,7.1,474,7.5,170974
"20",33,31,3.1,37,4.4,6123
"21",41,28,4.2,94,4.2,14668
"22",62,27,6.7,27,5.9,2076
"23",48,37,6.3,148,5.8,40512
"24",35,24,4,40,3.8,6302
"25",64,17,4.7,97,5.3,14445
"26",70,9,8.7,34,8,1272
"27",64,46,6.2,130,6.8,60297
"28",68,37,6.8,58,6.8,17862
"29",29,13,4.2,35,4.6,6434
"30",58,57,7.8,552,7.9,219820
"31",39,5,7.4,13,6.1,3226
"32",81,47,8.2,529,8.1,219227
"33",71,47,6.1,67,6.8,15111
"34",44,35,5.3,123,5.7,39972
"35",41,12,5.6,27,6.5,4271
"36",49,39,4,31,4.8,4472
"37",72,30,8.1,56,7.6,11248
"38",32,51,5.5,484,2.7,33393
"39",50,45,6.3,138,6.4,35077
"40",45,36,3.9,33,5.2,7021
"41",80,50,7.2,159,7.3,42403
"42",68,45,7.5,134,7.5,40073
"43",74,43,6,88,7,14880
"44",52,24,7.2,19,6.6,3911
"45",59,60,9.1,6528,8.5,799161
"46",83,62,7.5,1522,7.7,472326
"47",46,7,5.2,56,5.7,15070
"48",51,32,6,55,6.6,30128
"49",43,40,6.2,194,6.6,68198
"50",47,28,6.1,158,6.7,46833
"51",49,25,1.8,86,3.2,7784
"52",66,41,7.2,147,6.4,14014
"53",46,23,5.2,91,5.8,20366
"54",73,38,7.6,73,7.6,36951
"55",24,16,4.2,33,4.9,7829
"56",66,46,6.7,114,6.9,31009
"57",55,38,6.5,270,6.7,110851
"58",55,31,5.3,48,6.6,16372
"59",83,51,8,386,7.6,105594
"60",NA,NA,NA,NA,NA,NA
"61",52,41,3.1,289,4.6,41421
"62",59,46,7.1,356,7.4,104239
"63",61,28,5.9,64,7,23305
"64",50,40,5.6,78,6.5,34272
"65",31,16,5.1,53,5.4,18053
"66",77,8,8.2,19,7.2,1519
"67",25,13,2.5,22,4.7,2547
"68",54,23,5.5,35,6.3,11267
"69",79,44,6.1,241,6.3,69800
"70",78,57,7.8,4697,8.4,723026
"71",55,54,6.6,1007,6.9,192059
"72",84,57,8,683,7.8,180607
"73",64,56,3.5,5036,6.9,413204
"74",69,55,7.6,1260,7.5,292506
"75",53,50,6.6,711,7,206918
"76",58,52,6.5,743,6.6,178512
"77",81,56,6.4,887,6.9,200387
"78",60,54,6.5,311,6.5,150994
"79",73,50,7.8,1000,7.5,247155
"80",71,42,8,415,7.5,93323
"81",55,26,6.2,90,6.5,43756
"82",53,48,7.5,816,6.6,125767
"83",71,53,7.6,1204,7.1,231783
"84",55,50,7,1244,7,338569
"85",51,55,5.8,218,6.3,60348
"86",43,53,6.6,541,6.7,192245
"87",48,46,7.2,822,6,120332
"88",46,40,5.9,92,6.9,41027
"89",65,51,6.7,226,6.6,49564
"90",64,42,6.6,74,7.4,32593
"91",69,49,7.3,392,7.3,114607
"92",53,49,8.6,2006,7.3,208805
"93",60,44,6.1,138,6.7,50567
"94",87,50,8.7,1506,8.4,319712
"95",38,51,4.3,336,5.6,98608
"96",53,35,6.2,155,5.9,50282
"97",55,45,6.2,194,6.8,97347
"98",39,11,4,26,4.4,3447
"99",45,33,6.1,114,6.4,67555
"100",61,33,6.4,141,6.2,49500
"101",66,54,6.7,224,6.7,71285
"102",43,52,5,656,5.8,139517
"103",54,51,4.1,753,6.3,121150
"104",63,23,4.9,76,6,18898
"105",48,26,6.1,151,6.3,74504
"106",66,39,7.1,507,6.8,125883
"107",41,28,4.7,103,5.3,33056
"108",57,42,5.7,248,5.7,73795
"109",49,29,3.4,45,5.2,18317
"110",69,52,7.9,516,8.2,324730
"111",80,56,6.1,769,6.6,165729
"112",60,33,5.5,91,5.9,58382
"113",38,49,5.2,201,5.7,64768
"114",53,39,5.3,93,5.6,33685
"115",53,27,7.8,110,7.2,34740
"116",45,22,5.5,37,5.8,8778
"117",26,31,7.6,430,6.2,68780
"118",50,14,6,29,6.7,12867
"119",60,23,6.7,53,6.4,17603
"120",49,37,4.7,29,5.4,9337
"121",46,17,6.5,42,6.2,7323
"122",58,37,7.2,178,7,96954
"123",60,31,6.1,137,6.2,54077
"124",39,25,4.7,38,5.6,11263
"125",35,28,3.7,75,5.4,40143
"126",17,5,6.9,44,6.5,3158
"127",57,39,6,128,6.2,51917
"128",59,6,7.9,189,7.9,20721
"129",67,45,6.6,221,6.8,82893
"130",48,35,6.2,163,5.8,37972
"131",64,38,6.8,177,6.8,81584
"132",57,31,6.2,145,6.2,50061
"133",61,54,6.5,269,7.2,108510
"134",72,54,6.5,475,7.1,156271
"135",49,50,7.7,1037,8,424683
"136",43,31,7.4,33,7.5,19016
"137",71,43,6.5,433,7.1,119892
"138",68,38,7.2,114,7.1,59187
"139",59,40,6.3,51,7,20848
"140",43,16,7,25,7.4,15519
"141",84,52,4.7,541,7.2,78030
"142",42,37,5.9,81,6.2,34550
"143",43,17,5.3,53,5,16245
"144",31,44,5.5,432,5.2,71810
"145",40,32,6.6,102,6.4,39936
"146",70,28,7.7,95,7.6,42505
"147",39,20,4.6,35,4.9,4823
"148",10,7,9.1,764,5.8,11877
"149",91,53,7.7,440,7.5,158577
"150",89,47,8.3,192,7.6,39812
"151",44,31,6.4,255,6.1,70645
"152",66,34,6.2,60,6,13516
"153",68,30,6.9,75,6.7,18780
"154",46,27,5.8,47,5.8,20326
"155",70,46,5.9,71,6.5,22839
"156",41,30,5,34,5.7,7146
"157",45,18,5.7,44,5.8,21048
"158",88,60,8.4,1468,7.7,309408
"159",36,17,6,15,5.8,3441
"160",87,53,7.1,139,7.1,37304
"161",91,26,8.6,76,8.3,25291
"162",35,42,3.9,55,5.4,11979
"163",30,8,4.7,80,5.4,27885
"164",71,44,6.6,78,6.9,16234
"165",54,42,6,76,6,22224
"166",49,25,6.3,25,7.1,7446
"167",62,33,7.7,164,7.6,46515
"168",24,23,2.8,93,3.8,27393
"169",60,36,7.3,94,6.8,29857
"170",51,39,6.4,45,6.5,12216
"171",37,38,4.5,91,5.3,31844
"172",40,14,6.8,100,6.6,49667
"173",69,18,7.3,17,7,1163
"174",72,33,5.8,40,6.8,12645
"175",60,47,5.4,102,6.3,35519
"176",53,52,5.5,144,5.5,42567
"177",39,11,3.6,36,6.1,14848
"178",35,4,6.4,5,6,1168
"179",55,24,6.3,36,6.5,14191
"180",54,19,5.4,73,6,44877
"181",28,4,3.8,16,4.5,1034
"182",79,40,6.7,57,6.3,8226
"183",75,41,7.5,79,7.2,29078
"184",40,41,6.9,71,6.2,11734
"185",49,22,5.5,10,6.1,3904
"186",52,25,5.6,19,5.8,4953
"187",NA,NA,NA,NA,8.1,954
"188",48,37,5.4,51,6.8,27628
"189",58,17,5.7,7,7.1,2672
"190",51,32,6.1,126,6.3,44057
"191",19,15,4.5,71,5.5,27686
"192",55,31,5.6,62,5.5,16026
"193",66,45,6.9,211,7.1,96672
"194",52,48,5.7,655,6.6,203134
"195",57,28,7.4,95,7.3,72480
"196",40,38,5.9,50,6.2,16890
"197",50,5,5.4,24,5.6,9583
"198",46,13,5.8,5,5.3,921
"199",NA,NA,NA,NA,8.8,969
"200",44,33,6.1,243,6.1,94897
"201",NA,NA,NA,NA,5.6,447
"202",83,56,7.3,515,7.5,192085
"203",84,57,6.9,248,6.9,80467
"204",74,50,6.8,264,6.9,126627
"205",56,24,8.3,338,6.8,174860
"206",57,24,5.1,21,6.1,6847
"207",58,25,6.8,35,6.4,13803
"208",39,38,4.7,84,5.5,26132
"209",60,25,6.7,71,6.6,30743
"210",37,10,4.5,44,5.2,16402
"211",35,46,6.3,1452,6.7,333231
"212",NA,NA,NA,NA,NA,NA
"213",32,28,3.7,153,5.3,58821
"214",NA,NA,NA,NA,NA,NA
"215",81,18,7.6,45,7,10699
"216",66,51,7.7,1127,7.7,451770
"217",80,49,6.9,87,6.7,37303
"218",62,45,7,95,7.3,45739
"219",81,44,7,115,7.4,25944
"220",42,12,6.3,31,6.2,6075
"221",43,30,4.9,47,5.6,31100
"222",75,32,7.2,53,6.7,14769
"223",69,48,7.2,98,6.9,27757
"224",84,56,7.4,556,7.3,153142
"225",57,38,5.7,105,6,41303
"226",NA,NA,NA,NA,NA,NA
"227",67,51,6.8,446,6.6,109231
"228",53,6,NA,NA,5.7,1017
"229",58,14,7.4,13,6.8,1759
"230",88,55,6.3,3148,7.3,582838
"231",68,54,8.7,3686,8.5,777320
